,CPI_KR_YoY,AUD_USD,CN_Interbank3M,US_UnempRate,JP_REER,JP_Interbank3M,JP_CoreCPI,KC_FSI,KR_MfgProd,Pork,US_NFP,US_TradeTransEmp,THB_USD,PPI_CopperNickel,CN_PPI,US_Mortgage15Y,UK_10Y_Bond,US_ExportPI,US_DepInstCredit
2006-08-31,2.691731,0.7627999999999999,2.85,4.7,115.99,0.432,-0.2820989110545846,-0.58717553130356,10.044119971167454,71.9295652173913,163.0,11.0,37.58129032258064,89.25925925925927,3.4,6.211935483870968,4.6535,5.159474671669795,0.0
2006-09-30,2.479735,0.7552066666666666,2.72,4.5,114.83,0.436,-0.344207343617664,-0.529172497367989,12.953494072037785,67.907,134.0,21.0,37.41866666666667,87.4451273046532,3.5,6.097666666666667,4.5522,3.906976744186053,0.0
2006-10-31,2.186778,0.7539838709677419,2.7,4.4,113.29,0.447,-0.2727258328284798,-0.648992511834826,12.275723973219344,64.32,17.0,40.0,37.28516129032258,72.50318742031448,2.9,6.043225806451613,4.6155,2.8624192059095277,0.0
2006-11-30,2.097611,0.7723966666666667,2.98,4.5,112.68,0.502,-0.1016920201556748,-0.742400369187191,7.4175204900491565,62.12047619047619,217.0,60.0,36.52633333333333,51.96435803969218,2.8,5.968999999999999,4.5452,3.90334572490707,0.0
2006-12-31,2.089991,0.7858419354838709,2.84,4.4,111.19,0.54,-0.1057711770565794,-0.682530394615249,6.045423636055491,60.58650000000001,189.0,47.0,35.74483870967742,53.09909198578759,3.1,5.8751612903225805,4.6195,4.456824512534818,0.0
2007-01-31,1.681488,0.7823548387096774,2.63,4.6,108.23,0.54,-0.0959023452564267,-0.72428311314523,4.3004122883582685,59.54272727272727,223.0,41.0,35.20161290322581,28.521536670547153,3.3,5.965806451612903,4.8694,4.147465437788012,0.0
2007-02-28,2.170308,0.7829714285714287,2.82,4.5,106.54,0.66,-0.2800823679865671,-0.728864473990944,4.675314702359223,65.6765,88.0,45.0,33.8425,23.83301707779886,2.6,6.015,4.896,4.8802946593001995,0.0
2007-03-31,2.158862,0.7932290322580645,2.63,4.4,109.24,0.66,-0.3592162988169445,-0.497196464227433,3.405984535360007,61.53454545454545,224.0,66.0,32.6683870967742,25.204117855875044,2.7,5.88516129032258,4.8194,5.422794117647056,0.0
2007-04-30,2.449211,0.82732,3.9100000000000006,4.5,106.57,0.65,-0.219430315967728,-0.27260535143346,6.3775468226106025,65.4204761904762,63.0,-1.0,32.434999999999995,21.46826557472947,2.9,5.880666666666667,5.0439,5.109489051094895,0.0
2007-05-31,2.348455,0.8249290322580646,3.58,4.4,104.48,0.67,-0.1227782452048575,-0.571386266520651,5.655559967101653,73.51,145.0,29.0,32.773548387096774,1.1587485515643037,2.8,5.940322580645161,5.1458,4.619565217391308,0.0
